id	Level	LFC	qval	SE	sType	Species
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	Burn	-0.963567599875962	0.0235782889771856	0.273852361158208	RhS	C_epigeios
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Incertae_Sedis;g__Incertae_Sedis	Burn	-1.31121136955887	0.0012460970082119	0.307522104510425	RhS	C_epigeios
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__Incertae_Sedis	Burn	-0.616346194460069	0.0070941242676469	0.160625033954315	RhS	C_epigeios
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Bradyrhizobium	Burn	-1.03431616045646	0.0063200429755329	0.266997971942208	RhS	C_epigeios
d__Bacteria;p__Myxococcota;c__bacteriap25;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	Burn	2.53834578758932	0.0033949484858355	0.629782074200585	RhS	C_epigeios
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Kineosporia	Burn	-2.5008538090859	0.000104393362569992	0.521957205770544	RhS	C_epigeios
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Incertae_Sedis	Burn	-1.71252992021027	0.0235782889771856	0.486271396960483	RhS	C_epigeios
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter	Burn	3.45843778836336	3.29662104139525E-05	0.688849179453888	RhS	C_epigeios
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia	Burn	2.47300261112348	0.0439453060457376	0.739783473639203	RhS	C_epigeios
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Neobacillus	Burn	2.88114396303253	0.0065466137253875	0.74619559835952	RhS	C_epigeios
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__	Burn	2.86511797193355	0.0046670858992799	0.725139842100877	RhS	C_epigeios
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	Burn	1.59920798196018	0.0269981904785899	0.461474073576749	Rt	C_epigeios
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Devosiaceae;g__Devosia	Burn	1.94184341261902	0.0066273689647208	0.505608095098276	Rt	C_epigeios
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	Burn	3.53212160970663	7.08590099695361E-10	0.52058521282828	Rt	C_epigeios
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus	Burn	2.83705553777813	2.07189283410021E-05	0.556974961141041	Rt	C_epigeios
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces	Burn	1.44820987322713	1.87345921959249E-10	0.207577742155098	Rt	C_epigeios
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Fictibacillus	Burn	3.12562565102779	0.0144264958416172	0.858590270857806	Rt	C_epigeios
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Incertae_Sedis	Burn	-1.90956861710177	0.0241128938237163	0.545452538377337	Rt	C_epigeios
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium	Burn	1.58772311220055	5.05390866242674E-05	0.322795523770028	Rt	C_epigeios
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter	Burn	4.81520394615344	3.2108794342776E-21	0.487381779150705	Rt	C_epigeios
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia	Burn	2.84120087484673	7.64887078022749E-06	0.537858634740306	Rt	C_epigeios
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Paenarthrobacter	Burn	3.65915985543763	0.0019109746502984	0.883875356012296	Rt	C_epigeios
